OMX-BOL-R7-16-0-036: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-037: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-038: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-039: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-040: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-041: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-042: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-043: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-044: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-045: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-046: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-047: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-048: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-049: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-0-050: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-0-051: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-1T-001: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-1T-002: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-1T-003: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-1T-004: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-1T-005: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-1T-006: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-1T-007: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-1T-008: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-1T-009: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-512-001: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-512-002: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-512-003: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-512-004: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-512-005: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-512-006: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-512-007: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-512-008: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5060
OMX-BOL-R7-16-512-009: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX5050
OMX-BOL-R7-16-512-010: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-16-512-011: cpu=R7-5700X, ram=16, ssd=?, gpu=RTX3050
OMX-BOL-R7-32-0-001: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-002: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-003: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-004: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5050
OMX-BOL-R7-32-0-005: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5050
OMX-BOL-R7-32-0-006: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5050
OMX-BOL-R7-32-0-007: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5050
OMX-BOL-R7-32-0-008: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5050
OMX-BOL-R7-32-0-009: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5050
OMX-BOL-R7-32-0-010: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5050
OMX-BOL-R7-32-0-011: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-012: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-013: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-014: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-015: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-016: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-017: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-018: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-019: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-020: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-021: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-022: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-023: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-024: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-025: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-026: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-027: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-0-028: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-1T-001: cpu=R7-5700, ram=32, ssd=?, gpu=
OMX-BOL-R7-32-1T-002: cpu=R7-5700, ram=32, ssd=?, gpu=
OMX-BOL-R7-32-1T-003: cpu=R7-5700, ram=32, ssd=?, gpu=
OMX-BOL-R7-32-1T-004: cpu=R7-5700, ram=32, ssd=?, gpu=
OMX-BOL-R7-32-1T-005: cpu=R7-5700, ram=32, ssd=?, gpu=
OMX-BOL-R7-32-1T-006: cpu=R7-5700, ram=32, ssd=?, gpu=
OMX-BOL-R7-32-1T-007: cpu=R7-5700, ram=32, ssd=?, gpu=
OMX-BOL-R7-32-1T-008: cpu=R7-5700, ram=32, ssd=?, gpu=
OMX-BOL-R7-32-1T-009: cpu=R7-5700X, ram=32, ssd=?, gpu=RTX5060
OMX-BOL-R7-32-1T-010: cpu=R7-5700, ram=32, ssd=?, gpu=
